author,published_at,updated_at,like_count,text
@RakeshRai007,2024-12-09T15:05:46Z,2024-12-09T15:05:46Z,0,"We want our national brand pure 1000% made in india not sell goods imported from China.<br>Put a Made in India tag on it, who is going to see it, where is the company, where is it not, where is it being produced, Indians are being fooled by importing it from China<br>Due to this, Chinese companies are crying rich and not making Indian people crazy about buying expensive things."
@iamrealkhalifa,2024-12-09T14:04:43Z,2024-12-09T14:04:43Z,0,oneplus 7t was amazing phone but without 5g
@als4858,2024-12-09T13:46:02Z,2024-12-09T13:46:02Z,0,8 pro forever
@mohamedirfan6519,2024-12-09T13:14:22Z,2024-12-09T13:14:22Z,0,watching with line
@VikasThakur112,2024-12-09T12:21:14Z,2024-12-09T12:21:14Z,0,Launch date?
@master33951,2024-12-09T07:55:16Z,2024-12-09T07:55:34Z,1,"All of these OnePlus phones with the big round camera on the back, is a joke. (OnePlus 11 and up atleast)<br>They break in the corner below the cameras.<br><br>When will we get back the old design, like we had with OnePlus 8 Pro?"
@adhilarshath2111,2024-12-09T02:19:28Z,2024-12-09T02:19:28Z,0,Watching from One plus 12 and using OnePlus 8 pro 2020- till now..
@xFlowXxX,2024-12-09T00:35:27Z,2024-12-09T00:35:27Z,1,"Unpopular opinion: <br>Camera on a phone should not determine the cost of the phone. If you want to take beautiful picture, get yourself a real camera."
@AnotherDoppelganger,2024-12-08T22:25:09Z,2024-12-08T22:25:09Z,0,I had a OP 12 and changed to OP9 pro. Best decision ever
@sdinesh019,2024-12-08T21:30:09Z,2024-12-08T21:30:09Z,0,When are you releasing the OnePlus 13 mini ?
@hiteshgerwani5523,2024-12-08T18:10:53Z,2024-12-08T18:10:53Z,0,Oneplus 7 🎉
@GalavChoudhary,2024-12-08T18:10:14Z,2024-12-08T18:10:14Z,0,Comeback😎👽
@masashiyeo,2024-12-08T17:39:31Z,2024-12-08T17:39:31Z,0,"Got my OnePlus 12 and watch 2 during 11.11, then buds 3 pro. Think I&#39;m set for the next few years! Hope they&#39;ll keep on improving definitely 💯"
@Galaxy-lx4pe,2024-12-08T16:49:16Z,2024-12-08T16:49:16Z,0,Which date launch
@dibaskumarmurmu4249,2024-12-08T16:45:09Z,2024-12-08T16:45:09Z,0,One plus 8 pro has the worst display <br>And there service employee more worst
@Ak_editingz,2024-12-08T16:12:07Z,2024-12-08T16:12:07Z,0,Still using Oneplus 3t
@rikiran4211,2024-12-08T16:06:05Z,2024-12-08T16:06:05Z,0,"Still using OnePlus 7T Pro ,  one of the best display. Till now"
@AmirChemE,2024-12-08T15:31:11Z,2024-12-08T15:31:11Z,0,Camera is a but underwhelming.
@Amazinginternet7,2024-12-08T14:47:40Z,2024-12-08T14:48:26Z,0,One plus lost its competativeness😊 and became overpriced...
@Sunilbhagat164,2024-12-08T14:09:07Z,2024-12-08T14:09:07Z,0,🔥🔥
@helxbharat1107,2024-12-08T11:51:24Z,2024-12-08T11:51:24Z,0,Price should be under 40k for Indian middle class people 🙏
@irontyson6322,2024-12-08T11:35:15Z,2024-12-08T11:35:15Z,0,The camera was again overshadowed by its competitors 😬
@samibh1208,2024-12-08T10:42:06Z,2024-12-08T10:42:06Z,0,Rocking with OnePlus 8 Pro....
@MrAravind58,2024-12-08T09:10:27Z,2024-12-08T09:10:27Z,0,Loving one plus 12
@sheryv07,2024-12-08T08:48:32Z,2024-12-08T08:48:32Z,1,One Plus 6t... Still going strong
@anyaforger4812,2024-12-08T08:27:34Z,2024-12-08T08:27:34Z,0,Please keep including charger in the box oneplus
@Neer-Ultra,2024-12-08T08:22:42Z,2024-12-08T08:22:42Z,1,Some parts are copied by Galaxy S22 Ultra&#39;s and iPhone 13 Pro&#39;s unveiling videos🤣🤣🤣
@Maho309s,2024-12-08T07:30:53Z,2024-12-08T07:30:53Z,0,we need really phones without notches/punchholes like the oneplus 7 pro!!!
@PraveenKumar-rz2lj,2024-12-08T05:08:03Z,2024-12-08T05:08:03Z,0,7 series was the best series
@nileshsingh7722,2024-12-08T03:32:42Z,2024-12-08T03:32:42Z,1,Please don&#39;t come.. 😢🙏
@chikuwaz23,2024-12-08T02:50:15Z,2024-12-08T02:50:15Z,0,please come to japanese market.
@alcarides,2024-12-08T00:47:31Z,2024-12-08T00:47:31Z,0,Will do an upgrade from my 7pro after 5 years. Cant wait.
@leftspeaker2000,2024-12-07T22:15:41Z,2024-12-07T22:15:41Z,0,Release it on Australia ?
@DaiMoscv,2024-12-07T19:52:48Z,2024-12-07T19:52:48Z,0,I really liked OnePlus 6 and 8 design
@startechy888,2024-12-07T19:23:01Z,2024-12-07T19:23:01Z,0,🔥 my phone is almost 5 year older i would like to buy 1+ but i cant afford it <br>1+ is the real flaship 🔥🔥🔥
@louiswagner-g2o,2024-12-07T18:14:33Z,2024-12-07T18:14:33Z,0,I have the 13 already
@Gamingcdx-p7q,2024-12-07T17:45:15Z,2024-12-07T17:45:15Z,0,Any one can say me which software to make this type off animation add ?
@hemeshff533,2024-12-07T16:36:20Z,2024-12-07T16:36:20Z,0,Will there be oneplus 13r and oneplus 13mini
@umeshhbhat,2024-12-07T16:28:08Z,2024-12-07T16:28:08Z,0,"One plus 5, 6T &amp; 7 was peak."
@Baby_monstel1234,2024-12-07T16:17:39Z,2024-12-07T16:17:39Z,0,As they say next gen
@Prodigy631,2024-12-07T15:40:07Z,2024-12-07T15:40:07Z,1,watching on my oneplus 2
@TheGrayMan13,2024-12-07T15:20:15Z,2024-12-07T15:20:15Z,0,Box me 1-1 extra display aur mother board milega kya?
@RedZen0_0,2024-12-07T15:04:47Z,2024-12-07T15:04:47Z,0,Star wars
@shreyaspatil9886,2024-12-07T15:00:13Z,2024-12-07T15:00:13Z,0,Watching on the OG OnePlus 5
@Lucky-wo9nt,2024-12-07T14:54:37Z,2024-12-07T14:54:37Z,0,Watching on my legendary OnePlus 8
@fabianvela6077,2024-12-07T13:58:25Z,2024-12-07T13:58:25Z,0,What will the price be at launch?
@xactxx,2024-12-07T13:35:43Z,2024-12-07T13:35:43Z,0,On OnePlus 6T and it has NEVER failed me ONCE. Thank you OnePlus.
@ubdigitaldive,2024-12-07T11:46:47Z,2024-12-07T11:46:47Z,0,"one plus 7 pro was the last innovative phone from one plus, after that it is all same."
@Muhammad.llc1,2024-12-07T06:37:20Z,2024-12-07T06:37:20Z,0,A lot of problem 😕😔 in OnePlus phone 📱
@jenshin7092,2024-12-07T05:30:01Z,2024-12-07T05:30:01Z,0,Watching on my 5T
@jenshin7092,2024-12-07T05:29:04Z,2024-12-07T05:29:04Z,0,OnePlus plz wide your screen
@user-zz9ep1us4z,2024-12-07T05:00:24Z,2024-12-07T05:00:24Z,0,我正在用三星s24
@ChessGM21,2024-12-07T02:44:37Z,2024-12-07T02:44:37Z,0,Waiting for ONEPLUS WATCH 3❤❤❤
@Vinlandman,2024-12-07T02:08:03Z,2024-12-07T02:08:03Z,0,Green Goblin
