author,published_at,updated_at,like_count,text
@KrishnaRamanujan,2024-12-04T07:30:10Z,2024-12-04T07:30:10Z,1,⭕ne Plus You Amaze us Always.👌🏻
@KrishnaRamanujan,2024-12-04T07:29:44Z,2024-12-04T07:29:44Z,2,Watching it in ⭕ne Plus 12.
@KrishnaRamanujan,2024-12-04T07:29:05Z,2024-12-04T07:29:05Z,1,⭕ne Plus User From India (Bharat).
@forinternetinternet4490,2024-12-04T07:19:12Z,2024-12-04T07:19:12Z,0,bring 24gb 1tb variant globaly please 🥺🥺🥺
@fabiyeah,2024-12-04T07:13:33Z,2024-12-04T07:13:33Z,0,"come on!, i need to replace my Oneplus 9Pro, its still a great smarphone but the battery life is horrible"
@KsanasLager,2024-12-04T06:48:01Z,2024-12-04T06:48:16Z,0,i will wait for OP18 :D as i had 6T now 12 next has to be 18
@Marinescu87Dan,2024-12-04T06:31:54Z,2024-12-04T06:31:54Z,89,"Still using OnePlus 7 Pro since launch. Best phone ever, without holes in display!"
@pwnagejetsonjetson4118,2024-12-04T06:19:02Z,2024-12-04T06:19:02Z,0,"i still have the oneplus 9 5g, im thinking about the 13 when it goes global"
@TehF0cus,2024-12-04T05:53:42Z,2024-12-04T05:53:42Z,0,If only the phones stood affordable like the 1+1 was.
@ryuu8105,2024-12-04T05:24:40Z,2024-12-04T05:24:40Z,0,watching this on my oneplus 8
@averagegamer345,2024-12-04T05:24:22Z,2024-12-04T05:24:22Z,0,Will definitely updrade from OP 7T to OP 13
@Garrettdx1988,2024-12-04T05:15:14Z,2024-12-04T05:15:14Z,0,Can we get a flat black option in the US though
@TershAlvian,2024-12-04T05:11:57Z,2024-12-04T05:11:57Z,0,Using OnePlus 9. Very nice phone and still stable in gaming.
@Lawrence.Carlton,2024-12-04T05:06:59Z,2024-12-04T05:06:59Z,0,It would be great if we could have it for Christmas???
@петърйорданов-й8г,2024-12-04T04:59:47Z,2024-12-04T04:59:47Z,0,Top top phone op 13.... oneplus rocks.. period !!!!
@munezsiangshai255,2024-12-04T04:41:34Z,2024-12-04T04:41:34Z,0,OnePlus should have stick with the Nord 4 design in all its phone... it&#39;s unique
@RishavKumar-wh2yb,2024-12-04T03:14:58Z,2024-12-04T03:14:58Z,0,OnePlus is dead ☠️☠️
@Robcadams1974,2024-12-04T03:04:52Z,2024-12-04T03:04:52Z,18,How soon. I need to replace my phone. Hold off too long I&#39;m getting a Pixel.
@changeitnow421,2024-12-04T02:50:31Z,2024-12-04T02:50:31Z,0,This time do not make any compromises in Camera please
@MRN7EDITZ,2024-12-04T02:50:12Z,2024-12-04T02:50:12Z,0,you guys need improve your camera before launching globally
@therealsuryagamingyt1104,2024-12-04T02:38:34Z,2024-12-04T02:38:34Z,1,Waiting for the FLAGSHIP KILLER phone
@C_Fak942,2024-12-04T02:28:40Z,2024-12-04T02:28:40Z,0,Still on 8 pro
@conspiracyofanarchy,2024-12-04T01:10:41Z,2024-12-04T01:10:41Z,0,Can you guys hire other designer to replace that round camera bump?
@zakuinabox3992,2024-12-04T00:06:26Z,2024-12-04T00:06:26Z,0,Wondering what the price is gonna be and storage options line up with each price bracket. I have the 12 Emerald and while i live it man did i want the white version. Glad to see its coming state side and im hoping a good trade deal is on offer for the 12 going into the 13 as I&#39;m really on the fence. That and youll get me to buy the buds pro 3 if its good XD
@kevinreddy32,2024-12-03T23:59:05Z,2024-12-03T23:59:05Z,0,Sat here with my OnePlus 7 ive had the one plus 10 since and unfortunately dropped it down a drain😅🤣 came back to OnePlus 7 and it works like a dream ive dropped it banged it used it endlessly and its just bulletproof incredible phone
@steve_nomad,2024-12-03T23:58:40Z,2024-12-03T23:58:40Z,0,I wish they could keep the green marble like color! 💚
@phothewin6019,2024-12-03T23:53:32Z,2024-12-03T23:53:32Z,1,iPhone 16 Pro Max is better.
@thong99cat,2024-12-03T23:49:36Z,2024-12-03T23:49:36Z,1,Stop killing background notification
@chieflingco,2024-12-03T23:37:15Z,2024-12-03T23:37:15Z,0,My oneplus 11 is still running strong
@Ne0_Vect0r,2024-12-03T23:12:57Z,2024-12-03T23:12:57Z,1,What means &quot;soon&quot;. For me that&#39;s next 7 days.. but what does it mean for OnePlus?
@Mr_Pv,2024-12-03T23:11:27Z,2024-12-03T23:11:27Z,0,mas me crece
@Coaja20,2024-12-03T23:01:07Z,2024-12-03T23:01:07Z,0,Watching on my OnePlus 13 and it&#39;s the real deal!
@diegosmaxi,2024-12-03T21:32:47Z,2024-12-03T21:32:47Z,0,"Finally saying good bye to edge/curved screen 😭😭 That&#39;s the main reason I&#39;ll change my OnePlus 11, whichs is great, but I really don&#39;t like the curved screen."
,2024-12-03T21:20:54Z,2024-12-03T21:20:54Z,0,After 3 years I changed my oneplus 8t for a 10t if I knew that 13 will be flat screen I would wait 3 months more
@kramernaylor7810,2024-12-03T21:19:49Z,2024-12-03T21:19:49Z,0,Looks like no curved glass. I want it
@schranzistor,2024-12-03T21:15:16Z,2024-12-03T21:16:15Z,0,Dual e-sim support for global version?
@uTaylor90,2024-12-03T21:00:29Z,2024-12-03T21:00:29Z,0,They need to stop releasing phones so quickly. The improvements are only incremental. The op12 only just came out. It&#39;s ridiculous
@buzzhd1078,2024-12-03T20:25:37Z,2024-12-03T20:25:37Z,0,Waiting to buy
@zuesadam7143,2024-12-03T20:23:24Z,2024-12-03T20:23:24Z,0,Still here on my OnePlus 7Pro
@high_mafia,2024-12-03T20:15:36Z,2024-12-03T20:15:36Z,0,Design not that great
@mirkus8483,2024-12-03T20:03:19Z,2024-12-03T20:03:19Z,0,polska gurom. Przejmujemy ten filmik i model telefonu
@Un4gettablewolf,2024-12-03T20:00:39Z,2024-12-03T20:00:39Z,0,Now that&#39;s some build quality 😮. Please give good deals to trade!
@RealNightwing,2024-12-03T19:53:34Z,2024-12-03T19:53:34Z,0,Please it&#39;s high time to release oneplus open 2 too. Waiting for it anxiously.
@BradleyLarcher,2024-12-03T19:43:12Z,2024-12-03T19:43:12Z,0,Beautiful. Love the blue
@harshvardhansinghrathore2781,2024-12-03T19:41:05Z,2024-12-03T19:41:05Z,0,"Sincerely not Impressed, loyal customer from OnePlus 7T. I bought every flagship phone right now using 11,12 but this time the OnePlus design team disappointed me. Not any good or big reason for upgrading."
@darshandhamdhere7944,2024-12-03T19:34:50Z,2024-12-03T19:34:50Z,0,Worst design ever<br>12 is good😂
@midnightstories6619,2024-12-03T19:15:16Z,2024-12-03T19:15:16Z,0,"Watching on my OnePlus 11R, dunno why people hating after OnePlus 11 it&#39;s starting to make a comeback"
@kmitchpg,2024-12-03T19:09:40Z,2024-12-03T19:09:40Z,1,"I always say it, the first Oneplus phone, the Oneplus One had THE best textured sandstone finish and was practically impossible to drop. If only all phones handled as well as that now."
@michaeldaguisan7584,2024-12-03T18:57:24Z,2024-12-03T18:58:58Z,0,"So basically the OnePlus X but on major steroids lol Snapdragon 8 elite,  6000 mah battery, IP69 , LPDDR5 RAM, USF 4.0 storage, 80 Watt charging, 50 watt wireless chargin tog, Mag safe ready, 1440p panel, this is a beast 👹"
@samarwazir3939,2024-12-03T18:46:04Z,2024-12-03T18:46:04Z,0,One plus 12 R oxygen OS 15 android 15 best update waiting for Ai features
@mayurkhandare5047,2024-12-03T18:40:19Z,2024-12-03T18:40:19Z,0,Still rocking with 6T 🔥
@adenogram,2024-12-03T18:30:51Z,2024-12-03T18:30:51Z,1,Get rid of curved displays. Redesign the camera layouts
@wirewizard5760,2024-12-03T18:29:48Z,2024-12-03T18:29:48Z,0,"Watching this on my OnePlus 13 😁 it&#39;s a nice phone, deffo upgrade from the OnePlus 6 I rocked for 6 years... Been here since the original one plus one, great phones and the 13 hasn&#39;t disappointed"
@mry_deepak67,2024-12-03T18:20:09Z,2024-12-03T18:20:09Z,0,13R
@DimiProject2,2024-12-03T18:16:02Z,2024-12-03T18:16:02Z,0,Coming Thursday mine......black 1Tb ....😊😊😊😊
@manavtyagi6086,2024-12-03T18:12:29Z,2024-12-03T18:12:29Z,0,This is the Fantastic fantabulous dedication of OnePlus putting in a piece of art 🎨💥 SūPēRb back side of device looks unique as well bezels on screen are amazing 😍 💯 OnePlus 13 gonna have three color but I personally think there will be more colors for sure <br>and it is gonna be a light one in weight glad to see this coming
@sperbarcaable,2024-12-03T18:02:49Z,2024-12-03T18:02:49Z,0,"watching on my OnePlus 10 pro ,, really love this company ,, waiting for global realase ❤❤❤❤❤❤❤"
@ceoofmanwha3279,2024-12-03T17:59:29Z,2024-12-03T17:59:29Z,0,Unreal Downfall
@Androide323,2024-12-03T17:59:19Z,2024-12-03T18:01:02Z,0,"If you manage to do what the Red Magic 10 Pro did and have an under display hidden camera with no notch on the screen, I&#39;ll upgrade from my OnePlus 7 Pro, either that or a pop-up camera, I&#39;m not interested in a notch, even with the smart notification things you&#39;re implementing with OxygenOS 15. It&#39;s just not for me.<br><br>EDIT: Also, the back camera is huge! If you get a simple and more aesthetic design that&#39;s not that huge, I&#39;ll definitely upgrade."
@eduardpaun7367,2024-12-03T17:53:47Z,2024-12-03T17:53:47Z,1,Bro just launch it allready
@jobayer259,2024-12-03T17:47:58Z,2024-12-03T17:47:58Z,0,please give me a phone
@komal.b1,2024-12-03T17:28:18Z,2024-12-03T17:28:18Z,0,Really number 13!!!! <br><br>Why 😭😭😭 can you not jump to 14 and skip 13???
@SiddharthYJain,2024-12-03T17:08:22Z,2024-12-03T17:08:22Z,0,One plus 6t❤
@ilkerYT,2024-12-03T17:04:16Z,2024-12-03T17:04:16Z,0,Need to see the One Plus 13 in the Turkish market!!
@lavatr8322,2024-12-03T16:53:42Z,2024-12-03T16:53:42Z,1,The Settling chapter
@harshithtimes3866,2024-12-03T16:39:52Z,2024-12-03T16:39:52Z,0,OnePlus one last suggestion to you just bring back old oxygen OS like os 11 like that then your the king in the smartphone industry nobody is liking your color os and I&#39;m watching this video in my OnePlus 12
@Jackdudu,2024-12-03T16:35:22Z,2024-12-03T16:35:22Z,0,12r?
@farzinfarsi,2024-12-03T16:31:44Z,2024-12-03T16:31:44Z,6,great design . round camera bump is the ultimate form of camera bumps.
@rechem_0307,2024-12-03T16:26:45Z,2024-12-03T16:26:45Z,0,Loving my Op12❤
@rishabhsingh1912,2024-12-03T16:26:39Z,2024-12-03T16:26:39Z,0,Next chapter with new lies of features and new lies of phones
@ankitbisaria,2024-12-03T16:24:44Z,2024-12-03T16:24:44Z,0,Bring back the legend op7 pro
@blackkaiser5258,2024-12-03T16:21:12Z,2024-12-03T16:21:12Z,0,now we can have multicolor liness😂😂😂😂😂😂🫡
@leeaxon01,2024-12-03T16:18:08Z,2024-12-03T16:18:08Z,1,🎶 The Magic of Nature ❤
@Thiccolo,2024-12-03T16:17:08Z,2024-12-03T16:17:08Z,1,"Bring back that ultra marine blue, literally the best color"
@realmousaffa3927,2024-12-03T16:16:53Z,2024-12-03T16:16:53Z,0,bro its fckin december and they still say coming soon instead of just giving us a date why do they hate people outside of china so much
@Bigchungusy,2024-12-03T16:13:53Z,2024-12-03T16:13:53Z,2,This for some reason is making OP 12 look more beautiful
@katiebumbum1113,2024-12-03T16:10:28Z,2024-12-03T16:10:28Z,0,Rooting for this one. We&#39;ll get this if Android decides to kill Android 12 next year. I&#39;m still using the first Nord from 2020.
@siepi5728,2024-12-03T16:09:15Z,2024-12-03T16:09:15Z,0,Lol next chapter. This is the same as OP12 with next snapdragon.
@MitulIsLive05,2024-12-03T16:08:21Z,2024-12-03T16:08:21Z,0,Watching on 11r 😢😅
@carl794,2024-12-03T15:58:09Z,2024-12-03T15:58:09Z,0,old design was sexier
@TheMrIgnor,2024-12-03T15:41:24Z,2024-12-03T15:41:24Z,6,"OnePlus I have been with you since 1+One, that was my first one...<br>I cant wait to buy this 13 model<br>I feel like its gonna be lucky 13 🎉"
@visualchemy_gfx,2024-12-03T15:38:52Z,2024-12-03T15:38:52Z,0,#1+forever
@visualchemy_gfx,2024-12-03T15:38:24Z,2024-12-03T15:38:24Z,3,Best brand dropping another banger. I just hope the experience would be more refined and smooth with the brand new OxygenOs 15! Best of luck to OnePlus
@Banerjee_05,2024-12-03T15:22:53Z,2024-12-03T15:22:53Z,0,The most waited smartphone ❤
@Gabriel-ll7ys,2024-12-03T15:13:07Z,2024-12-03T15:13:07Z,0,"Pleease, launch a 24gb RAM global version, even if it comes with 512gb or 256gb"
@samad848,2024-12-03T14:55:43Z,2024-12-03T14:55:43Z,0,When the Price Will Reveal?
@killactct,2024-12-03T14:53:14Z,2024-12-03T14:53:14Z,0,When we get the oneplus open 2?
@apsfilmdownload777,2024-12-03T14:52:17Z,2024-12-03T14:52:17Z,0,ONE PLUS 7 PRO IS THE BEST ONE PLUS PHONE I EVER USED
@umeshthemaster,2024-12-03T14:46:36Z,2024-12-03T14:46:36Z,0,1080p teaser😂
@VarunKumarYerukula,2024-12-03T14:43:06Z,2024-12-03T14:43:06Z,0,Hi
@snoepox1257,2024-12-03T14:42:39Z,2024-12-03T14:42:39Z,0,DROP THE OPEN IN PRICE TO BE RELEVANT!
@artventurr,2024-12-03T14:39:12Z,2024-12-03T14:39:12Z,0,"Change that camera island, it looks cheap. If it was simpler like Samsung&#39;s, I wouuld have purchased one."
@N0Intro,2024-12-03T14:34:35Z,2024-12-03T14:34:35Z,0,"watching from oneplus 6t. Gonna get this as my new phone, bc it is the first real OnePlus phone since the OP9Pro"
@arjunrockzz7363,2024-12-03T14:27:07Z,2024-12-03T14:27:07Z,0,Watching it on oneplus 9R❤❤😢😢
@sossox0,2024-12-03T14:25:09Z,2024-12-03T14:25:09Z,0,need an T version of this
@AndreTheDragon,2024-12-03T14:15:39Z,2024-12-03T14:15:39Z,3,I already have 13 and it&#39;s great.
@aperSongster,2024-12-03T14:15:38Z,2024-12-03T14:15:38Z,0,"Watching from OnePlus 10 pro , but ...........<br>seriously OnePlus , please do something about the design <br>The Op12 looks so amazing than this 13 <br>Please do something new in the design"
@vipinrobikurishingal2805,2024-12-03T14:15:34Z,2024-12-03T14:15:34Z,0,Using OP 12...Not gonna update this time...May be OP 14 if spects are incredible......
@Beastxsajid143,2024-12-03T14:13:35Z,2024-12-03T14:13:35Z,0,Why OnePlus not changing camera Big circle ⭕⭕
@DhairyaMina-i4r,2024-12-03T13:58:21Z,2024-12-03T13:58:21Z,3,Still on my 10R but think that it&#39;s a shitbox . Planning to upgrade . Any ideas??
@alokeshchatterjee2534,2024-12-03T13:48:32Z,2024-12-03T13:48:32Z,2,"One plus ko price ke hisab se Cemera mein improvement Lana padega, for specially &quot;R&quot; series.."
@mexicof4929,2024-12-03T13:47:05Z,2024-12-03T13:47:05Z,1,If it&#39;s act to play heavy games with your cell phone
@harshanaik298,2024-12-03T13:39:47Z,2024-12-03T13:39:47Z,1,ONE + 13 Geen Lines
@No_timezone77,2024-12-03T13:38:07Z,2024-12-03T13:38:07Z,1,Watching this on my 7t pro McLaren edition
@Amritblock,2024-12-03T13:29:03Z,2024-12-03T13:29:03Z,1,When its launching am very curious
@simbusilambu5210,2024-12-03T13:28:39Z,2024-12-03T13:28:39Z,1,In amozon they sell 11r at 29000 it&#39;s original are fake product
@thegamech5253,2024-12-03T13:25:12Z,2024-12-03T13:25:12Z,2,"Watching this from my onePlus 13 feels funny, like, i am from the future or some shi"
@arkvsi8142,2024-12-03T13:24:03Z,2024-12-03T13:24:03Z,2,Remove Google&#39;s spyware from it!
@nawazshanewaz4648,2024-12-03T13:20:30Z,2024-12-03T13:20:30Z,1,Oneplus 12R user here
@peaceofmind5915,2024-12-03T13:19:51Z,2024-12-03T13:19:51Z,222,OnePlus 7Pro Series Is Legendary ❤
@N00MAK_CA_Finalist,2024-12-03T13:16:45Z,2024-12-03T13:16:45Z,1,👎👎🏻👎🏻
@sage_mode_,2024-12-03T13:02:15Z,2024-12-03T13:02:15Z,3,Finally a flat display 🥳🥳🥳 Finally we will have original Tempered Glass screen protector 🥳🥳🥳
@Carbknight,2024-12-03T12:59:08Z,2024-12-03T12:59:08Z,1,The next chapter? Seriously?
@Baldgeta,2024-12-03T12:56:47Z,2024-12-03T12:56:47Z,4,Watching this with my OnePlus 15
@huzaifahhaneef6352,2024-12-03T12:49:09Z,2024-12-03T12:49:09Z,1,"OnePlus 7 pro was the one, the one that took real risks, this is already released in china, still showing us teaser😂"
@bilawallahootidrums,2024-12-03T12:47:07Z,2024-12-03T12:47:07Z,1,Boring
@sahiljadhav6969_,2024-12-03T12:31:18Z,2024-12-03T12:31:18Z,3,Toward the previous chapter i guess 🌚
@comedyking-yn4lf,2024-12-03T12:25:52Z,2024-12-03T12:25:52Z,1,One plus 13 mini  kb tak aa dakta hai india me
@mmkishore144,2024-12-03T12:19:42Z,2024-12-03T12:19:42Z,1,Waiting ❤
@patildinesh07,2024-12-03T12:19:36Z,2024-12-03T12:19:36Z,1,Come On NOw really Flat screen.... I already Brought Nord4 just for Flat screen.
@vaughanjones3613,2024-12-03T12:18:59Z,2024-12-03T12:18:59Z,3,Watching this on OnePlus One! Isn&#39;t as fast as it used to be but still works!
@RealRameshBabu,2024-12-03T12:11:55Z,2024-12-03T12:11:55Z,24,"I&#39;m still rocking my OnePlus 5t, i think this will be my upgrade finally 🗣️"
@meleedleleedle,2024-12-03T12:11:48Z,2024-12-03T12:11:48Z,3,Watching this on my oneplus 5T
@zainulsayed6698,2024-12-03T12:11:21Z,2024-12-03T12:11:21Z,1,Try to create something new .... Dont just keep repeating the same pattern 😮‍💨
@mengsong5326,2024-12-03T12:10:47Z,2024-12-03T12:10:47Z,1,How much for 1Tb or 512g ?
@clueless6763,2024-12-03T12:08:15Z,2024-12-03T12:08:15Z,20,"still on 8T, gonna get this like 2 years later"
@kabhijeet16,2024-12-03T12:05:30Z,2024-12-03T12:05:30Z,1,Advertisement of OnePlus 13 launched after actual launch of OnePlus 13😂😂😂😂
@Mariobrownio1989,2024-12-03T12:03:43Z,2024-12-03T12:03:43Z,5,Watching from my OnePlus open 🥲
@Dude_Virus,2024-12-03T12:02:38Z,2024-12-03T12:02:38Z,3,I hope they release the 24 GB + 1 TB model in India as well.
@Nikku08,2024-12-03T12:00:40Z,2024-12-03T12:00:40Z,2,Another brick in the wall
@TheRockstar398,2024-12-03T11:53:38Z,2024-12-03T11:53:38Z,1,No thanks. Your camera is bad as always.
@victorrothschild4203,2024-12-03T11:49:07Z,2024-12-03T11:49:07Z,1,You jabronis lost your way after the 7t
@AI.0116,2024-12-03T11:47:59Z,2024-12-03T11:47:59Z,11,Please extend the security patch update policy up to 6-7 years
@ArgiriosII,2024-12-03T11:46:13Z,2024-12-03T11:46:13Z,5,Why no 4K video?<br>Wich color should I choose?
@rycx_x,2024-12-03T11:45:52Z,2024-12-09T13:00:05Z,1,Ugly. NothingPhone is better
@NeedPeaceInLife,2024-12-03T11:45:38Z,2024-12-03T11:45:38Z,64,Watching on OnePlus 12
@bloodshadow9389,2024-12-03T11:43:24Z,2024-12-03T11:43:24Z,3,"Фээ, теперь стал доской плоской, а где эти прекрасные формы?❤"
@ALI-soon1Milli,2024-12-03T11:43:05Z,2024-12-03T11:43:05Z,1,If this has QI2 I’m coming home to android
@serrael-182,2024-12-03T11:43:05Z,2024-12-03T11:43:05Z,1,We all know its coming soon. No real new information...
@ramprasanths1995,2024-12-03T11:41:31Z,2024-12-03T11:41:31Z,2,"Im very eager to get oneplus 13🥺, however i cant to buy 😒 sure i will raise my pocket"
@Tyson-lo7sg,2024-12-03T11:39:58Z,2024-12-03T11:39:58Z,25,I AM STILL ON Oneplus 6T and its a monstrous phone ever made by OnePlus.Still it can beat some new phones in video and photos.I expect OnePlus to do better in Camera and video
@Only1TReal,2024-12-03T11:39:45Z,2024-12-03T11:39:45Z,2,Hopefully there&#39;s a good deal with the Pre-order. I have the 12R on my AT&amp;T line. I&#39;m hoping the 13 works on my Verizon line
@NurulHuda-hj4kx,2024-12-03T11:39:07Z,2024-12-03T11:39:07Z,1,I love OnePlus because of faster Oxygen OS❤
@hamada100200100,2024-12-03T11:36:05Z,2024-12-03T11:36:05Z,1,We need the global version when...💔💔😓😓????
@harbhajansingh2910,2024-12-03T11:32:57Z,2024-12-03T11:32:57Z,9,I love OnePlus and I already using 12 OnePlus 13 OnePlus white color amazing
@LiveLifeWithLove,2024-12-03T11:31:34Z,2024-12-03T11:31:34Z,1,glossy phones 🚫
@ItzXstream,2024-12-03T11:28:32Z,2024-12-03T11:28:32Z,76,Loving my OnePlus 12
@unknown-vr5wu,2024-12-03T11:28:12Z,2024-12-03T11:28:12Z,1,Next colour full line&#39;s 🔥🔥
@yaarokayaar7797,2024-12-03T11:27:28Z,2024-12-03T11:27:28Z,2,OnePlus time to comeback with old picture ❤❤
@himanshu6472,2024-12-03T11:22:51Z,2024-12-03T11:22:51Z,1,Kill the china OS bring back the OG oxygen OS
@SeveroZX,2024-12-03T11:19:20Z,2024-12-03T11:19:20Z,2,I love you OnePlus ❤️
@NickMidd91,2024-12-03T11:19:00Z,2024-12-03T11:19:00Z,5,Just got the oneplus12 said the 13 is coming in January
@amulkumar6412,2024-12-03T11:11:32Z,2024-12-03T11:11:32Z,26,The White ⚪ color is amazing
@amulkumar6412,2024-12-03T11:11:12Z,2024-12-03T11:11:12Z,3,Nice 🤩👍 fantastic🤘😝🤘 great job Oneplus finally this Time oneplus makes a perfect phone in all of these years ❤
@8bits955,2024-12-03T11:06:05Z,2024-12-03T11:06:05Z,2,oneplus 7 pro was the last great oneplus ever since then it been going downhill with the software and the hardware
@jitendrameghwal0832,2024-12-03T11:05:03Z,2024-12-03T11:05:03Z,5,IQ 13 ❤❤❤
@jjawith3246,2024-12-03T11:02:37Z,2024-12-03T11:02:37Z,1,The best phones ever here
@kaifahmad1118,2024-12-03T11:00:16Z,2024-12-03T11:00:16Z,4,India launch date?
@MaltiDevi-nx4cr,2024-12-03T10:59:49Z,2024-12-03T10:59:49Z,15,Launch it faster. I am very excited to buy it.
@raducodreanu2309,2024-12-03T10:59:45Z,2024-12-03T10:59:45Z,4,"I’m ready, let’s go, can’t wait for this to come to EU retailers with the global version &amp; Oxygen OS."
@ernestkj,2024-12-03T10:58:36Z,2024-12-03T10:58:36Z,1,not a fan of the current design at the moment.. maybe need some time to get used to it
@tusharlokhande7954,2024-12-03T10:56:00Z,2024-12-03T10:56:41Z,35,"For me, it&#39;s not a brand... It&#39;s emotions...<br><br>7 loyal years with OnePlus with OP 6, 6T, 7T Pro McLaren, 11 and now 12... Waiting for you 13 ❤..."
@hani_issa,2024-12-03T10:51:50Z,2024-12-03T10:51:50Z,0,worst looking oneplus phone ever !
@peaceofmind5915,2024-12-03T10:50:19Z,2024-12-03T10:50:19Z,2,Bad Design 😢
@MohdFirdaus-lk2dm,2024-12-03T10:49:17Z,2024-12-03T10:49:17Z,0,First Comment 🎉👍
@magicmystery4211,2024-12-03T10:47:22Z,2024-12-03T10:47:22Z,2,Just like everytime camera will be big letdown
@trashacc7124,2024-12-03T10:46:33Z,2024-12-03T10:46:33Z,2,Kinda like the curve screen more because it looks like having big screen with small size and has more advantage when gaming
@alanwalker194,2024-12-03T10:43:49Z,2024-12-03T10:43:49Z,68,Im OnePlus lover but i hate round  camera design 😭😭😭😭
@fremzter,2024-12-03T10:42:52Z,2024-12-03T10:42:52Z,3,"I moved away from OP when they started the curved screen, maybe it&#39;s time to come back😮"
@spritamsel4929,2024-12-03T10:42:51Z,2024-12-03T10:42:51Z,18,Watching this on my OnePlus 13 feels funny
@alanwalker194,2024-12-03T10:42:23Z,2024-12-03T10:42:23Z,3,I hate camera design
@alanwalker194,2024-12-03T10:40:49Z,2024-12-03T10:40:49Z,3,Please stop round camera design 😭
@CocoCc-z5k,2024-12-03T10:40:02Z,2024-12-03T10:40:02Z,0,glad im a  one plus user
@jamiehunter3567,2024-12-03T10:37:49Z,2024-12-03T10:37:49Z,1,Looks absolutely fantastic makes me want this alongside my oneplus open 😉😉
@Anonymous-hu3yt,2024-12-03T10:35:50Z,2024-12-03T10:35:50Z,2,One of the worst looking models of OnePlus series&#39; 😂
@OmarFaruq-on2rt,2024-12-03T10:35:30Z,2024-12-03T10:35:30Z,8,The blue one....❤❤❤
@_IQ_hub,2024-12-03T10:35:10Z,2024-12-03T10:35:10Z,0,the real og is back
@sanjeevc4596,2024-12-03T10:34:11Z,2024-12-03T10:34:11Z,0,Upgraded colourfull new style lines on screen soon😂
@JAYY1631,2024-12-03T10:34:02Z,2024-12-03T10:34:02Z,0,I got price oneplus 13 announced by official oneplus <br>After a day they send message as miscommunication <br>If oneplus global see&#39;s this please do something <br>And give the reward as said by official team😢
@noke2132,2024-12-03T10:32:49Z,2024-12-03T10:32:49Z,1,This day has came.
@40beyondfashion,2024-12-03T10:32:42Z,2024-12-03T10:32:42Z,0,To call it beautiful would be an understatement 😊
@hossammohamed6927,2024-12-03T10:32:28Z,2024-12-03T10:32:28Z,0,"OnePlus is one of the best phones this year, but... the rear cameras should have been placed in a frame like in the Redmi K80 Pro."
@manijawandha98,2024-12-03T10:28:59Z,2024-12-03T10:28:59Z,0,This ain&#39;t no with any curves at all
@Davedublin,2024-12-03T10:26:16Z,2024-12-03T10:26:16Z,1,Too big.
@seeratrafique1459,2024-12-03T10:24:33Z,2024-12-03T10:28:11Z,0,"The Camera Module is not looking premium, you must look at the Xiaomi 14 ultra camera module. It&#39;s looking more like Infinix / Techno phones rather than legendary Oneplus."
@sashinjamir4863,2024-12-03T10:24:13Z,2024-12-03T10:24:13Z,0,Which colour do you guys prefer....?😃
@SarvagyaTiwari,2024-12-03T10:23:55Z,2024-12-03T10:23:55Z,0,Ok. Provide 80% discount on exchange of One plus 12.
@VelGoesBrrr,2024-12-03T10:23:54Z,2024-12-03T10:23:54Z,0,"Is there any difference on the sides of the phones?<br>I heard some people say on the black version, it&#39;s brushed metal, but on white and blue it&#39;s not."
@rushikeshpatil6436,2024-12-03T10:23:53Z,2024-12-03T10:23:53Z,1,Beast is back
@manny78969,2024-12-03T10:21:39Z,2024-12-03T10:21:39Z,0,Here we are. Let&#39;s F go....
@JD-vh4hl,2024-12-03T10:20:59Z,2024-12-03T10:20:59Z,773,OnePlus 7 Pro (with true infinite display) was the next chapter. All models with that front camera on the screen - is the previous chapter. Bring back a true infinite display! It is already 5 years that I&#39;ve been using OP7Pro and I am happy with it.
@aadityapawar0412,2024-12-03T10:14:53Z,2024-12-03T10:14:53Z,0,I am OnePlus Lover❤
@razabhai9822,2024-12-03T10:14:39Z,2024-12-03T10:14:39Z,0,Uder 40k price is good never sattel but please sattel the price ✅✅✅✅
@johnstana8382,2024-12-03T10:09:01Z,2024-12-03T10:09:01Z,0,Shut Up And Take Me Money ! ❤
@RahulGupta-ld5wr,2024-12-03T10:06:28Z,2024-12-03T10:06:28Z,0,Launching on 11th December
@g_ravasz,2024-12-03T10:05:12Z,2024-12-03T10:07:10Z,3,"Can&#39;t wait the global Launch. Looks nice. Edit: seems that gonna be in January, for EU."
@plonyzio7079,2024-12-03T10:05:08Z,2024-12-03T10:05:08Z,20,true beauty to behold❤
@BhupendraSingh-dk2ec,2024-12-03T10:05:07Z,2024-12-03T10:05:07Z,6,Yaa we want flate display ❤❤
@sevine4667,2024-12-03T10:04:54Z,2024-12-03T10:04:54Z,7,My OnePlus 12 just lost value 😅
@ojasmehta,2024-12-03T10:04:18Z,2024-12-03T10:04:18Z,1,Did they remove the bezels?!
@chowdhuryaltarifullas987,2024-12-03T10:03:50Z,2024-12-03T10:03:50Z,9,That’s awesome ❤
@sohailsayyed4686,2024-12-03T10:03:27Z,2024-12-03T10:03:27Z,0,Price will be overpriced then what the us of it 😊😊😊😊😊 no periscope
@i3looi2,2024-12-03T10:03:13Z,2024-12-03T10:03:13Z,2,This is not what OnePlus promised. It&#39;s just another smartphone. Zero innovation or personality.
